# fleet_aco 2026-09-21 16:03:35  carriers 240, targets 298
# model F0 +200.8 KB 2.59 KX 1.81 QD 3.01 sel(-3.93,-1.54)  (calib rmse 54 kg, R2 0.47)
# alpha 1.0 beta 2.0 rho 0.1 ants 96 gens 150 nmax 14 depth 38 breakeven 0.0369
gen  52  best  12.403  eliteMean  12.792  ever  12.336 (8 craft, 298/298 cov, sumJi 10.336)  [64 s]
gen  53  best  12.416  eliteMean  12.838  ever  12.336 (8 craft, 298/298 cov, sumJi 10.336)  [65 s]
gen  54  best  12.350  eliteMean  12.683  ever  12.336 (8 craft, 298/298 cov, sumJi 10.336)  [66 s]
gen  55  best  12.370  eliteMean  12.689  ever  12.336 (8 craft, 298/298 cov, sumJi 10.336)  [66 s]
gen  56  best  12.335  eliteMean  12.610  ever  12.335 (8 craft, 298/298 cov, sumJi 10.335)  [67 s]
gen  57  best  12.337  eliteMean  12.528  ever  12.335 (8 craft, 298/298 cov, sumJi 10.335)  [68 s]
gen  58  best  12.343  eliteMean  12.650  ever  12.335 (8 craft, 298/298 cov, sumJi 10.335)  [68 s]
gen  59  best  12.349  eliteMean  12.806  ever  12.335 (8 craft, 298/298 cov, sumJi 10.335)  [69 s]
gen  60  best  12.391  eliteMean  12.797  ever  12.335 (8 craft, 298/298 cov, sumJi 10.335)  [70 s]
gen  61  best  12.329  eliteMean  12.843  ever  12.329 (8 craft, 298/298 cov, sumJi 10.329)  [70 s]
gen  62  best  12.363  eliteMean  12.598  ever  12.329 (8 craft, 298/298 cov, sumJi 10.329)  [71 s]
gen  63  best  12.319  eliteMean  12.743  ever  12.319 (8 craft, 298/298 cov, sumJi 10.319)  [72 s]
gen  64  best  12.324  eliteMean  12.830  ever  12.319 (8 craft, 298/298 cov, sumJi 10.319)  [72 s]
gen  65  best  12.358  eliteMean  12.772  ever  12.319 (8 craft, 298/298 cov, sumJi 10.319)  [73 s]
gen  66  best  12.362  eliteMean  12.841  ever  12.319 (8 craft, 298/298 cov, sumJi 10.319)  [74 s]
gen  67  best  12.330  eliteMean  12.718  ever  12.319 (8 craft, 298/298 cov, sumJi 10.319)  [74 s]
gen  68  best  12.347  eliteMean  12.811  ever  12.319 (8 craft, 298/298 cov, sumJi 10.319)  [75 s]
gen  69  best  12.363  eliteMean  12.853  ever  12.319 (8 craft, 298/298 cov, sumJi 10.319)  [76 s]
gen  70  best  12.332  eliteMean  12.687  ever  12.319 (8 craft, 298/298 cov, sumJi 10.319)  [76 s]
gen  71  best  12.293  eliteMean  12.714  ever  12.293 (8 craft, 298/298 cov, sumJi 10.293)  [77 s]
gen  72  best  12.364  eliteMean  12.561  ever  12.293 (8 craft, 298/298 cov, sumJi 10.293)  [78 s]
gen  73  best  12.342  eliteMean  12.576  ever  12.293 (8 craft, 298/298 cov, sumJi 10.293)  [78 s]
gen  74  best  12.378  eliteMean  12.919  ever  12.293 (8 craft, 298/298 cov, sumJi 10.293)  [79 s]
gen  75  best  12.329  eliteMean  12.712  ever  12.293 (8 craft, 298/298 cov, sumJi 10.293)  [80 s]
gen  76  best  12.361  eliteMean  12.834  ever  12.293 (8 craft, 298/298 cov, sumJi 10.293)  [80 s]
gen  77  best  12.284  eliteMean  12.593  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [81 s]
gen  78  best  12.381  eliteMean  12.572  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [82 s]
gen  79  best  12.338  eliteMean  12.830  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [82 s]
gen  80  best  12.373  eliteMean  12.710  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [83 s]
gen  81  best  12.317  eliteMean  12.623  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [83 s]
gen  82  best  12.343  eliteMean  12.713  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [84 s]
gen  83  best  12.288  eliteMean  12.619  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [85 s]
gen  84  best  12.367  eliteMean  12.582  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [85 s]
gen  85  best  12.289  eliteMean  12.443  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [86 s]
gen  86  best  12.336  eliteMean  12.641  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [87 s]
