# fleet_aco 2026-09-21 16:03:35  carriers 240, targets 298
# model F0 +200.8 KB 2.59 KX 1.81 QD 3.01 sel(-3.93,-1.54)  (calib rmse 54 kg, R2 0.47)
# alpha 2.0 beta 1.0 rho 0.05 ants 96 gens 150 nmax 12 depth 45 breakeven 0.0369
gen  52  best  11.637  eliteMean  11.831  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [87 s]
gen  53  best  11.724  eliteMean  11.778  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [88 s]
gen  54  best  11.687  eliteMean  11.768  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [90 s]
gen  55  best  11.711  eliteMean  11.775  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [91 s]
gen  56  best  11.688  eliteMean  11.792  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [93 s]
gen  57  best  11.707  eliteMean  11.777  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [94 s]
gen  58  best  11.692  eliteMean  11.808  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [96 s]
gen  59  best  11.689  eliteMean  11.817  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [97 s]
gen  60  best  11.733  eliteMean  11.770  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [99 s]
gen  61  best  11.672  eliteMean  11.760  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [100 s]
gen  62  best  11.687  eliteMean  11.779  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [101 s]
gen  63  best  11.689  eliteMean  11.751  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [103 s]
gen  64  best  11.679  eliteMean  11.751  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [104 s]
gen  65  best  11.706  eliteMean  11.817  ever  11.623 (7 craft, 298/298 cov, sumJi 9.623)  [105 s]
